outcome,label,re_level,subfield,journal,prevalence_estimate,prevalence_ci_lower,prevalence_ci_upper,trend_estimate,trend_ci_lower,trend_ci_upper,detectable,prevalence_category,trend_category,combined_category,prevalence_results,trend_results
Cognitive Ability,General journal 1,journals,General,General journal 1,0.12436687228328347,0.04850879000187888,0.22543395417676113,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.12 95% CI [0.05, 0.23]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,General journal 2,journals,General,General journal 2,0.11551878356357342,0.04333254860088249,0.20530058498365275,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.12 95% CI [0.04, 0.21]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,General journal 3,journals,General,General journal 3,0.10829342544467922,0.03685287945813279,0.18748694878373146,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.11 95% CI [0.04, 0.19]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,General journal 4,journals,General,General journal 4,0.09932994600492719,0.027848311792768643,0.1677949626161461,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.10 95% CI [0.03, 0.17]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,General journal 5,journals,General,General journal 5,0.10750403555992877,0.03389261793109973,0.1801426998472408,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.11 95% CI [0.03, 0.18]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,I/O,subfields,I/O,hypothetical typical journal,0.12569762557599717,0.036096340494562784,0.2327787545412513,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.13 95% CI [0.04, 0.23]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,I/O journal 1,journals,I/O,I/O journal 1,0.14269910881599657,0.062281840129293,0.25786527479927046,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.14 95% CI [0.06, 0.26]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,I/O journal 2,journals,I/O,I/O journal 2,0.12645119498082416,0.04950752904180525,0.21617407516807713,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.13 95% CI [0.05, 0.22]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,I/O journal 3,journals,I/O,I/O journal 3,0.1340182258288195,0.05826785021473758,0.23343580383144674,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.13 95% CI [0.06, 0.23]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,I/O journal 4,journals,I/O,I/O journal 4,0.10880784159541768,0.027515815773128012,0.18255752008617937,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.11 95% CI [0.03, 0.18]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,I/O journal 5,journals,I/O,I/O journal 5,0.11896936483671308,0.038008247505642016,0.19788903033708377,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.12 95% CI [0.04, 0.20]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Social/Personality,subfields,Social/Personality,hypothetical typical journal,0.1261296827219935,0.0363808429825546,0.2307995945102658,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.13 95% CI [0.04, 0.23]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Social/Personality journal 1,journals,Social/Personality,Social/Personality journal 1,0.13658866400725644,0.04955912591640184,0.2371903658468262,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.14 95% CI [0.05, 0.24]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Social/Personality journal 2,journals,Social/Personality,Social/Personality journal 2,0.12774342898624108,0.04530782975396104,0.218540780610605,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.13 95% CI [0.05, 0.22]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Social/Personality journal 3,journals,Social/Personality,Social/Personality journal 3,0.11013751189047043,0.029610518031877975,0.18058526670692202,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.11 95% CI [0.03, 0.18]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Social/Personality journal 4,journals,Social/Personality,Social/Personality journal 4,0.13430832433365242,0.059515244591255755,0.23885959092378117,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.13 95% CI [0.06, 0.24]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Social/Personality journal 5,journals,Social/Personality,Social/Personality journal 5,0.12703538728004263,0.04996800512277475,0.21915920337470282,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.13 95% CI [0.05, 0.22]","-0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Psychology,field,hypothetical typical subfield,hypothetical typical journal,0.06928566255381505,0.041691377268463156,0.09986948056320288,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.04, 0.10]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Clinical,subfields,Clinical,hypothetical typical journal,0.06887796631950945,0.021065916388788783,0.12662532613684457,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.13]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Clinical journal 1,journals,Clinical,Clinical journal 1,0.06414242842733897,0.015780547422250643,0.1093180183302682,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.06 95% CI [0.02, 0.11]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Clinical journal 2,journals,Clinical,Clinical journal 2,0.07191364441221049,0.0309865117571577,0.13178008392850324,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.03, 0.13]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Clinical journal 3,journals,Clinical,Clinical journal 3,0.06723313349695897,0.020773454171907218,0.11460121192902725,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.11]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Clinical journal 4,journals,Clinical,Clinical journal 4,0.0684556767949758,0.020043273329926805,0.12055433921660832,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.12]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Clinical journal 5,journals,Clinical,Clinical journal 5,0.07093633815292716,0.028485316943622937,0.12814194281029853,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.03, 0.13]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Cognitive,subfields,Cognitive,hypothetical typical journal,0.06738430535806095,0.018524072055366717,0.12229215803044968,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.12]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Cognitive journal 1,journals,Cognitive,Cognitive journal 1,0.06634186297131747,0.021666408661107344,0.11691067274193624,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.12]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Cognitive journal 2,journals,Cognitive,Cognitive journal 2,0.0676123515671083,0.021143593487429342,0.11672775603198425,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.12]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Cognitive journal 3,journals,Cognitive,Cognitive journal 3,0.06402776513207509,0.01789878631774957,0.10995480164958808,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.06 95% CI [0.02, 0.11]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Cognitive journal 4,journals,Cognitive,Cognitive journal 4,0.07116959039246114,0.024884900580583635,0.12962449404450446,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.13]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Cognitive journal 5,journals,Cognitive,Cognitive journal 5,0.06696760769567775,0.024940515272719305,0.11805111201084371,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.12]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Developmental,subfields,Developmental,hypothetical typical journal,0.06826803085199482,0.018811229488125403,0.11917049306884694,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.12]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Developmental journal 1,journals,Developmental,Developmental journal 1,0.06744181099814034,0.022859793248975253,0.11679396281851818,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.12]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Developmental journal 2,journals,Developmental,Developmental journal 2,0.0644469634008494,0.015696702565480565,0.10857254192592673,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.06 95% CI [0.02, 0.11]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Developmental journal 3,journals,Developmental,Developmental journal 3,0.0678110816317509,0.023624146285306232,0.1169504185633817,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.12]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Developmental journal 4,journals,Developmental,Developmental journal 4,0.07008013230745921,0.024724580592006197,0.12670225585159517,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.13]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Developmental journal 5,journals,Developmental,Developmental journal 5,0.06607191201806417,0.022824981060435536,0.1163999197785109,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.12]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,General,subfields,General,hypothetical typical journal,0.0687401089195313,0.020083834090031553,0.12421022421039295,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.12]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,General journal 1,journals,General,General journal 1,0.06908015328042169,0.024505531573922067,0.12324797450877885,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.12]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,General journal 2,journals,General,General journal 2,0.06809008275241958,0.023441362226092662,0.11982278639322011,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.12]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,General journal 3,journals,General,General journal 3,0.06879099143265004,0.027646963307110358,0.12301504098611135,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.03, 0.12]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,General journal 4,journals,General,General journal 4,0.07221120942218462,0.030011808382671087,0.13269863053848457,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.03, 0.13]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,General journal 5,journals,General,General journal 5,0.06382428514128011,0.0193222080181126,0.11231599359625716,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.06 95% CI [0.02, 0.11]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,I/O,subfields,I/O,hypothetical typical journal,0.0723011918866843,0.02268007063521175,0.13439894277025083,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.13]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,I/O journal 1,journals,I/O,I/O journal 1,0.07973596228169226,0.034992614754599076,0.15974523680320524,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.08 95% CI [0.03, 0.16]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,I/O journal 2,journals,I/O,I/O journal 2,0.07618134688348857,0.03527992373149782,0.14487246440809598,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.08 95% CI [0.04, 0.14]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,I/O journal 3,journals,I/O,I/O journal 3,0.06723973508832291,0.023765314770178837,0.11839469215489537,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.12]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,I/O journal 4,journals,I/O,I/O journal 4,0.07102019272446655,0.02321449856288551,0.12552523821121284,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.13]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,I/O journal 5,journals,I/O,I/O journal 5,0.07188756616355112,0.02708336378715196,0.12951595612354994,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.03, 0.13]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Social/Personality,subfields,Social/Personality,hypothetical typical journal,0.07268298372166068,0.027902982553994114,0.13720884769490438,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.03, 0.14]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Social/Personality journal 1,journals,Social/Personality,Social/Personality journal 1,0.08379153346480606,0.0361154101603917,0.18182546173762373,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.08 95% CI [0.04, 0.18]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Social/Personality journal 2,journals,Social/Personality,Social/Personality journal 2,0.06848870519752696,0.02413227118639986,0.12123591659822769,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.12]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Social/Personality journal 3,journals,Social/Personality,Social/Personality journal 3,0.06674422915702324,0.021793968061548097,0.11767142184913175,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.02, 0.12]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Social/Personality journal 4,journals,Social/Personality,Social/Personality journal 4,0.07143984473200843,0.026789875114720363,0.12657822812396627,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.07 95% CI [0.03, 0.13]","0.00 95% CI [-0.01, 0.01]"
Neurophysiological,Social/Personality journal 5,journals,Social/Personality,Social/Personality journal 5,0.07586531112677058,0.0324763875971033,0.14038973887985856,0.002139675190863574,-0.005665394338643351,0.009180552425195368,FALSE,Uncommon,No trend detected,Uncommon and No trend detected,"0.08 95% CI [0.03, 0.14]","0.00 95% CI [-0.01, 0.01]"
Self-Report about Subjective Experience,Psychology,field,hypothetical typical subfield,hypothetical typical journal,0.8573015861181201,0.7449674397353709,0.9513083953480588,-0.0022808851969690403,-0.013889385638111134,0.008985887224910971,FALSE,Frequent,No trend detected,Frequent and No trend detected,"0.86 95% CI [0.74, 0.95]","-0.00 95% CI [-0.01, 0.01]"
Self-Report about Subjective Experience,Clinical,subfields,Clinical,hypothetical typical journal,0.9400747365424225,0.8659570756347656,0.9882512722974457,-0.0022808851969690403,-0.013889385638111134,0.008985887224910971,FALSE,Frequent,No trend detected,Frequent and No trend detected,"0.94 95% CI [0.87, 0.99]","-0.00 95% CI [-0.01, 0.01]"
Self-Report about Subjective Experience,Clinical journal 1,journals,Clinical,Clinical journal 1,0.9350324013011866,0.860365044247188,0.9831788892049316,-0.0022808851969690403,-0.013889385638111134,0.008985887224910971,FALSE,Frequent,No trend detected,Frequent and No trend detected,"0.94 95% CI [0.86, 0.98]","-0.00 95% CI [-0.01, 0.01]"
Self-Report about Subjective Experience,Clinical journal 2,journals,Clinical,Clinical journal 2,0.9404680230413243,0.8738405017034037,0.9868201323564971,-0.0022808851969690403,-0.013889385638111134,0.008985887224910971,FALSE,Frequent,No trend detected,Frequent and No trend detected,"0.94 95% CI [0.87, 0.99]","-0.00 95% CI [-0.01, 0.01]"
Self-Report about Subjective Experience,Clinical journal 3,journals,Clinical,Clinical journal 3,0.9409437067569808,0.8754732825555903,0.9892965625149635,-0.0022808851969690403,-0.013889385638111134,0.008985887224910971,FALSE,Frequent,No trend detected,Frequent and No trend detected,"0.94 95% CI [0.88, 0.99]","-0.00 95% CI [-0.01, 0.01]"
Self-Report about Subjective Experience,Clinical journal 4,journals,Clinical,Clinical journal 4,0.9454093558543823,0.88505532276749,0.9910845983804762,-0.0022808851969690403,-0.013889385638111134,0.008985887224910971,FALSE,Frequent,No trend detected,Frequent and No trend detected,"0.95 95% CI [0.89, 0.99]","-0.00 95% CI [-0.01, 0.01]"
Self-Report about Subjective Experience,Clinical journal 5,journals,Clinical,Clinical journal 5,0.9452292874384063,0.8849050265464236,0.9886624706105291,-0.0022808851969690403,-0.013889385638111134,0.008985887224910971,FALSE,Frequent,No trend detected,Frequent and No trend detected,"0.95 95% CI [0.88, 0.99]","-0.00 95% CI [-0.01, 0.01]"
Self-Report about Subjective Experience,Cognitive,subfields,Cognitive,hypothetical typical journal,0.93614057819643,0.8550699837513998,0.987270336742388,-0.0022808851969690403,-0.013889385638111134,0.008985887224910971,FALSE,Frequent,No trend detected,Frequent and No trend detected,"0.94 95% CI [0.86, 0.99]","-0.00 95% CI [-0.01, 0.01]"
Self-Report about Subjective Experience,Cognitive journal 1,journals,Cognitive,Cognitive journal 1,0.9427514695664534,0.8769266624142881,0.9884596366461048,-0.0022808851969690403,-0.013889385638111134,0.008985887224910971,FALSE,Frequent,No trend detected,Frequent and No trend detected,"0.94 95% CI [0.88, 0.99]","-0.00 95% CI [-0.01, 0.01]"
Self-Report about Subjective Experience,Cognitive journal 2,journals,Cognitive,Cognitive journal 2,0.9364337500420087,0.8670554807820144,0.9863654353082695,-0.0022808851969690403,-0.013889385638111134,0.008985887224910971,FALSE,Frequent,No trend detected,Frequent and No trend detected,"0.94 95% CI [0.87, 0.99]","-0.00 95% CI [-0.01, 0.01]"
Self-Report about Subjective Experience,Cognitive journal 3,journals,Cognitive,Cognitive journal 3,0.9419593456699269,0.87689606897954,0.989021695428038,-0.0022808851969690403,-0.013889385638111134,0.008985887224910971,FALSE,Frequent,No trend detected,Frequent and No trend detected,"0.94 95% CI [0.88, 0.99]","-0.00 95% CI [-0.01, 0.01]"
Self-Report about Subjective Experience,Cognitive journal 4,journals,Cognitive,Cognitive journal 4,0.9318300916110911,0.8487482414114809,0.9819170054334326,-0.0022808851969690403,-0.013889385638111134,0.008985887224910971,FALSE,Frequent,No trend detected,Frequent and No trend detected,"0.93 95% CI [0.85, 0.98]","-0.00 95% CI [-0.01, 0.01]"
