ISSN,DOI,authors,year,title,journal,URL,citations,year_for_citations_by_year,citations_per_year,more_than_30_citations_per_year,psych_study_on_human_participants
1932-6203,10.1371/journal.pone.0026032,Antonelou; Kriebardis; Stamoulis; Trougakos; Papassideri,2011,Apolipoprotein J/Clusterin Is a Novel Structural Component of Human Erythrocytes and a Biomarker of Cellular Stress and Senescence,PLoS ONE,https://doi.org/10.1371/journal.pone.0026032,31,2011,2.21,FALSE,FALSE
1932-6203,10.1371/journal.pone.0144703,Yin; Lei; Wen; Lacruz; Soleimani; Kurtz; Snead; White; Paine,2015,SLC26A Gene Family Participate in pH Regulation during Enamel Maturation,PLoS ONE,https://doi.org/10.1371/journal.pone.0144703,24,2015,2.4,FALSE,FALSE
1932-6203,10.1371/journal.pone.0092468,Montasser; Shimmin; Gu; Chen; Gu; Kelly; Jaquish; Rice; Rao; Cao; Chen; Liu; Whelton; Hamm; He; Hixson,2014,Variation in Genes that Regulate Blood Pressure Are Associated with Glomerular Filtration Rate in Chinese,PLoS ONE,https://doi.org/10.1371/journal.pone.0092468,11,2014,1,FALSE,FALSE
1932-6203,10.1371/journal.pone.0088348,Liu; Yu; Hou; Chai; Duan; Chu; Zhang; Hu; Du,2014,Human Umbilical Cord Mesenchymal Stem Cells Transplantation Promotes Cutaneous Wound Healing of Severe Burned Rats,PLoS ONE,https://doi.org/10.1371/journal.pone.0088348,155,2014,14.09,FALSE,FALSE
1932-6203,10.1371/journal.pone.0304992,Ferretti; Moccia; Centelleghe; Venerando; Dettin; Sieni; Zamuner; Caicci; Castagnaro; Zappulli; Mazzariol,2024,Bottlenose dolphin (Tursiops truncatus) immortalized fibroblasts on novel 3D in vitro collagen-free scaffolds,PLoS ONE,https://doi.org/10.1371/journal.pone.0304992,0,2024,0,FALSE,FALSE
1932-6203,10.1371/journal.pone.0179792,Lin; Sun; Wang; Zhang; Zhang,2017,Assessment of the effect of Enteromorpha prolifera on bacterial community structures in aquaculture environment,PLoS ONE,https://doi.org/10.1371/journal.pone.0179792,24,2017,3,FALSE,FALSE
1932-6203,10.1371/journal.pone.0196807,Hanel; Corominas-Murtra; Liu; Thurner,2018,Correction: Fitting power-laws in empirical data with estimators that work for all exponents,PLoS ONE,https://doi.org/10.1371/journal.pone.0196807,1,2018,0.14,FALSE,FALSE
1932-6203,10.1371/journal.pone.0252510,Kahana; Yamin,2021,Accounting for the spread of vaccination behavior to optimize influenza vaccination programs,PLoS ONE,https://doi.org/10.1371/journal.pone.0252510,6,2021,1.5,FALSE,FALSE
1932-6203,10.1371/journal.pone.0054695,Jafari; Peeling; Shivkumar; Claessens; Joseph; Pai,2013,Are Treponema pallidum Specific Rapid and Point-of-Care Tests for Syphilis Accurate Enough for Screening in Resource Limited Settings? Evidence from a Meta-Analysis,PLoS ONE,https://doi.org/10.1371/journal.pone.0054695,105,2013,8.75,FALSE,FALSE
1932-6203,10.1371/journal.pone.0141662,Zhao; Yu; Ma; Zhu; Zhang; Qin; Ai; Wang,2015,"Analysis of Precipitation Characteristics during 1957-2012 in the Semi-Arid Loess Plateau, China",PLoS ONE,https://doi.org/10.1371/journal.pone.0141662,17,2015,1.7,FALSE,FALSE
1932-6203,10.1371/journal.pone.0239300,Esezobor; Solarin; Gbadegesin,2020,Changing epidemiology of nephrotic syndrome in Nigerian children: A cross-sectional study,PLoS ONE,https://doi.org/10.1371/journal.pone.0239300,14,2020,2.8,FALSE,FALSE
1932-6203,10.1371/journal.pone.0312048,Martínez-Viejo; Rodríguez-Muñoz; Ojanguren,2024,Altitudinal variation in reproductive investment among Gryllus campestris populations,PLoS ONE,https://doi.org/10.1371/journal.pone.0312048,0,2024,0,FALSE,FALSE
1932-6203,10.1371/journal.pone.0106025,Knipping; Simons; Buelens-Sleumer; Cox; den Hartog; de Jong; Teshima; Garssen; Boon; Knippels,2014,Development of β-Lactoglobulin-Specific Chimeric Human IgEκ Monoclonal Antibodies for In Vitro Safety Assessment of Whey Hydrolysates,PLoS ONE,https://doi.org/10.1371/journal.pone.0106025,24,2014,2.18,FALSE,FALSE
1932-6203,10.1371/journal.pone.0158085,Samol; Gönes; Zumhagen; Bruns; Paul; Vahlhaus; Waltenberger; Schulze-Bahr; Eckardt; Mönnig,2016,Improved Clinical Risk Stratification in Patients with Long QT Syndrome? Novel Insights from Multi-Channel ECGs,PLoS ONE,https://doi.org/10.1371/journal.pone.0158085,4,2016,0.44,FALSE,FALSE
1932-6203,10.1371/journal.pone.0311796,Berhe; Arora; Ekanayake; Agho,2024,Food insecurity and psychological stress among migrants and refugees in high-income countries: Protocol for a systematic review and meta-analysis,PLoS ONE,https://doi.org/10.1371/journal.pone.0311796,0,2024,0,FALSE,FALSE
